ORDER,FAMILY,SCIENTIFIC NAME,COMMON NAME,FRENCH NAME,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Oncorhynchus nerka,sockeye salmon,kokani,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Oncorhynchus tshawytscha,chinook salmon,saumon chinook,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Salmo salar,Atlantic salmon,saumon atlantique,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Salvelinus alpinus,Arctic char,omble chevalier,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Salvelinus namaycush,lake trout,touladi,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus autumnalis,Arctic cisco,cisco arctique,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus clupeaformis,lake whitefish,grand corégone,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus laurettae,Bering cisco,cisco de Béring,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus nasus,broad whitefish,corégone tschir,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus sardinella,least cisco,cisco sardinelle,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Oncorhynchus keta,chum salmon,saumon kéta,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Salvelinus confluentus,bull trout,omble à tête plate,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Salvelinus fontinalis,brook trout,omble de fontaine,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Salvelinus malma,Dolly Varden,Dolly Varden,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Stenodus leucichthys,inconnu,inconnu,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Thymallus arcticus,Arctic grayling,ombre arctique,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus johannae,deepwater cisco,cisco de profondeur,,,,,,,,,,,,,,,,,,,,,,
SALMONIFORMES,SALMONIDAE,Coregonus reighardi,shortnose cisco,cisco à museau court,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,"Cottus ""bondi""",Rocky Mountain Sculpin,,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus cognatus,slimy sculpin,chabot visqueux,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Cottus hubbsi,Columbia sculpin,chabot du Columbia,,,,,,,,,,,,,,,,,,,,,,
SCORPAENIFORMES ,COTTIDAE,Myoxocephalus thompsonii,deepwater sculpin,chaboisseau de profondeur,,,,,,,,,,,,,,,,,,,,,,
